Date,Sales
16-01-2016,850
16-02-2016,1550
16-03-2016,3990
16-04-2016,800
16-05-2016,1200
16-06-2016,3700
16-07-2016,1954
16-08-2016,2852
16-09-2016,4350
16-10-2017,925
16-11-2017,1400
16-12-2017,5850
17-01-2017,900
17-02-2017,1750
17-03-2017,3450
17-04-2017,1125
17-05-2017,1620
17-06-2017,2350
17-07-2017,1425
17-08-2017,2150
17-09-2018,4860
17-10-2018,1120
17-11-2018,1335
17-12-2018,4975
18-01-2018,800
18-02-2018,1125
18-03-2018,3375
18-04-2018,1250
18-05-2018,1520
18-06-2018,2750
18-07-2018,1200
18-08-2018,2625
18-09-2018,3750
18-10-2018,1350
18-11-2018,2750
18-12-2019,3250
19-01-2019,725
19-02-2019,625
19-03-2019,2275
19-04-2019,825
19-05-2019,1025
19-06-2019,1750
19-07-2019,975
19-08-2019,1050
19-09-2019,1100
19-10-2019,700
19-11-2019,900
19-12-2019,2150
