Date,Sales
16-01-2016,270
16-02-2016,270
16-03-2016,1860
16-04-2016,795
16-05-2016,1600
16-06-2016,2145
16-07-2016,750
16-08-2016,1833
16-09-2016,3200
16-10-2016,725
16-11-2016,900
16-12-2017,3875
17-01-2017,750
17-02-2017,800
17-03-2017,2750
17-04-2017,715
17-05-2017,1730
17-06-2017,2200
17-07-2017,1650
17-08-2017,1575
17-09-2017,3120
17-10-2017,850
17-11-2017,1875
17-12-2017,3300
18-01-2017,700
18-02-2017,975
18-03-2018,2825
18-04-2018,1025
18-05-2018,1450
18-06-2018,2550
18-07-2018,1325
18-08-2018,2750
18-09-2018,3975
18-10-2018,1225
18-11-2018,3200
18-12-2018,4100
19-01-2019,775
19-02-2019,900
19-03-2019,2175
19-04-2019,1050
19-05-2019,1375
19-06-2019,2725
19-07-2019,1225
19-08-2019,1825
19-09-2019,1675
19-10-2019,1100
19-11-2019,1300
19-12-2019,3100
